experiment_id,experiment_run,round,client_id,js
2,2,1,14,0.14744551479816437
2,2,1,24,0.06593259423971176
2,2,1,21,0.06464429944753647
2,2,1,4,0.08767848461866379
2,2,1,2,0.1910797655582428
2,2,1,12,0.09679882228374481
2,2,1,10,0.13304945826530457
2,2,1,16,0.1844082921743393
2,2,1,20,0.2601335346698761
2,2,1,23,0.11890614777803421
2,2,1,8,0.14899639785289764
2,2,1,0,0.15397319197654724
2,2,1,6,0.2824477553367615
2,2,1,7,0.13056190311908722
2,2,1,3,0.05865320563316345
2,2,1,22,0.13274823129177094
2,2,1,13,0.06185087934136391
2,2,1,15,0.05711338669061661
2,2,1,18,0.08846157044172287
2,2,1,11,0.08379143476486206
2,2,1,17,0.11038505285978317
2,2,1,9,0.21790318191051483
2,2,1,19,0.13681840896606445
2,2,1,5,0.1142580583691597
2,2,1,1,0.058538127690553665
2,2,2,1,0.0639333426952362
2,2,2,12,0.12323873490095139
2,2,2,4,0.08805166929960251
2,2,2,9,0.24189098179340363
2,2,2,13,0.07609601318836212
2,2,2,6,0.17026181519031525
2,2,2,16,0.1486934870481491
2,2,2,10,0.15064194798469543
2,2,2,14,0.12248969078063965
2,2,2,24,0.07825641334056854
2,2,2,5,0.10848478972911835
2,2,2,11,0.07875258475542068
2,2,2,17,0.09778495132923126
2,2,2,18,0.08379026502370834
2,2,2,22,0.1418991982936859
2,2,2,0,0.0969335287809372
2,2,2,2,0.19718576967716217
2,2,2,15,0.04739926755428314
2,2,2,7,0.16045770049095154
2,2,2,23,0.1800096333026886
2,2,2,8,0.10007590055465698
2,2,2,20,0.1410066783428192
2,2,2,19,0.15204639732837677
2,2,2,21,0.06146073341369629
2,2,2,3,0.07051870971918106
2,2,3,9,0.20662806928157806
2,2,3,12,0.1075286865234375
2,2,3,21,0.03910301998257637
2,2,3,13,0.048295482993125916
2,2,3,22,0.10080671310424805
2,2,3,0,0.076433464884758
2,2,3,19,0.1400783658027649
2,2,3,23,0.12778504192829132
2,2,3,3,0.06104458495974541
2,2,3,18,0.059021733701229095
2,2,3,14,0.1382666826248169
2,2,3,8,0.09646598249673843
2,2,3,11,0.05431577190756798
2,2,3,24,0.041042834520339966
2,2,3,5,0.11979435384273529
2,2,3,17,0.066953144967556
2,2,3,16,0.15561224520206451
2,2,3,10,0.09923367202281952
2,2,3,2,0.16879332065582275
2,2,3,4,0.07993300259113312
2,2,3,1,0.03588886186480522
2,2,3,15,0.031920600682497025
2,2,3,20,0.0714174211025238
2,2,3,6,0.19571027159690857
2,2,3,7,0.10518069565296173
2,2,4,10,0.11307474225759506
2,2,4,16,0.19070029258728027
2,2,4,24,0.04457200691103935
2,2,4,6,0.20021063089370728
2,2,4,14,0.0940525159239769
2,2,4,15,0.032646432518959045
2,2,4,22,0.11486242711544037
2,2,4,5,0.13336551189422607
2,2,4,18,0.05490085855126381
2,2,4,9,0.15106290578842163
2,2,4,2,0.18695323169231415
2,2,4,19,0.08700724691152573
2,2,4,1,0.04768287017941475
2,2,4,13,0.04796414077281952
2,2,4,23,0.10391237586736679
2,2,4,20,0.11097182333469391
2,2,4,21,0.03338611125946045
2,2,4,11,0.06240164116024971
2,2,4,17,0.07550099492073059
2,2,4,8,0.08317016065120697
2,2,4,0,0.0685698539018631
2,2,4,3,0.06654316186904907
2,2,4,12,0.14394205808639526
2,2,4,7,0.10002826154232025
2,2,5,0,0.08667919039726257
2,2,5,12,0.13877148926258087
2,2,5,5,0.10019959509372711
2,2,5,21,0.02917501889169216
2,2,5,14,0.09819670021533966
2,2,5,19,0.10967089235782623
2,2,5,23,0.09050791710615158
2,2,5,10,0.09391271322965622
2,2,5,8,0.08553297817707062
2,2,5,2,0.15293815732002258
2,2,5,24,0.053482577204704285
2,2,5,7,0.13436338305473328
2,2,5,13,0.05091078579425812
2,2,5,17,0.08630970120429993
2,2,5,22,0.0966048538684845
2,2,5,1,0.04478553310036659
2,2,5,15,0.030291322618722916
2,2,5,20,0.14420273900032043
2,2,5,6,0.24598269164562225
2,2,5,16,0.17067743837833405
2,2,5,11,0.0492505207657814
2,2,5,18,0.055372755974531174
2,2,5,3,0.06300289928913116
2,2,5,4,0.11373142898082733
2,2,5,9,0.12897858023643494
2,2,6,4,0.10219237953424454
2,2,6,10,0.08382241427898407
2,2,6,21,0.05585995689034462
2,2,6,5,0.11033225059509277
2,2,6,11,0.05621814727783203
2,2,6,23,0.18597576022148132
2,2,6,2,0.1812950074672699
2,2,6,20,0.12862758338451385
2,2,6,13,0.05796455591917038
2,2,6,15,0.04963488504290581
2,2,6,16,0.1216132789850235
2,2,6,17,0.07952328026294708
2,2,6,1,0.049786899238824844
2,2,6,7,0.1051541119813919
2,2,6,18,0.05388985201716423
2,2,6,9,0.17652492225170135
2,2,6,0,0.07017311453819275
2,2,6,12,0.15895427763462067
2,2,6,24,0.04013253375887871
2,2,6,3,0.05374089255928993
2,2,6,6,0.18833699822425842
2,2,6,19,0.09226332604885101
2,2,6,14,0.10007824003696442
2,2,6,22,0.11553029716014862
2,2,6,8,0.10529276728630066
2,2,7,14,0.10139816254377365
2,2,7,15,0.03742016851902008
2,2,7,16,0.12253817915916443
2,2,7,9,0.1693095564842224
2,2,7,0,0.06553386896848679
2,2,7,1,0.030933866277337074
2,2,7,12,0.1604049950838089
2,2,7,23,0.12052000313997269
2,2,7,18,0.043505821377038956
2,2,7,24,0.04285159334540367
2,2,7,11,0.05528700724244118
