experiment_id,experiment_run,round,client_id,js
1,0,1,3,1.0240051746368408
1,0,1,9,1.0032532215118408
1,0,1,2,1.0136176347732544
1,0,1,4,1.2166998386383057
1,0,1,0,0.967196524143219
1,0,1,1,0.8994462490081787
1,0,1,5,1.0141197443008423
1,0,1,7,1.2955169677734375
1,0,1,6,1.1311509609222412
1,0,1,8,1.8195594549179077
1,0,2,3,1.1218777894973755
1,0,2,7,1.8704060316085815
1,0,2,9,1.2270543575286865
1,0,2,8,2.6675760746002197
1,0,2,6,1.0467548370361328
1,0,2,0,1.5022066831588745
1,0,2,2,1.2615209817886353
1,0,2,4,1.3377848863601685
1,0,2,1,1.424551248550415
1,0,2,5,1.006338357925415
1,0,3,7,1.324808120727539
1,0,3,4,1.521647334098816
1,0,3,6,0.7923483848571777
1,0,3,8,1.6667906045913696
1,0,3,0,1.1527575254440308
1,0,3,9,1.2515878677368164
1,0,3,3,1.2127773761749268
1,0,3,1,1.2044925689697266
1,0,3,2,0.9163198471069336
1,0,3,5,0.968576967716217
1,0,4,4,2.0597054958343506
1,0,4,0,0.686555802822113
1,0,4,8,0.27832525968551636
1,0,4,3,1.388478398323059
1,0,4,9,1.1053942441940308
1,0,4,2,0.9693436622619629
1,0,4,6,0.8155705332756042
1,0,4,5,0.6640945672988892
1,0,4,1,0.315670371055603
1,0,4,7,0.8500798344612122
1,0,5,1,0.32748061418533325
1,0,5,7,0.8833708167076111
1,0,5,5,0.8276419639587402
1,0,5,6,0.8025580048561096
1,0,5,3,1.3345056772232056
1,0,5,8,0.3732246160507202
1,0,5,2,1.1352641582489014
1,0,5,4,1.5180621147155762
1,0,5,0,0.6482049822807312
1,0,5,9,1.03974187374115
1,0,6,3,1.2379971742630005
1,0,6,1,0.29405930638313293
1,0,6,6,1.0001412630081177
1,0,6,2,0.8608699440956116
1,0,6,0,0.6133450269699097
1,0,6,4,2.3829293251037598
1,0,6,7,0.7651345729827881
1,0,6,5,0.8017674088478088
1,0,6,8,0.20109038054943085
1,0,6,9,1.4228250980377197
1,0,7,1,0.28007596731185913
1,0,7,7,0.6036062240600586
1,0,7,5,0.7411243319511414
1,0,7,0,0.6711718440055847
1,0,7,9,1.4576457738876343
1,0,7,8,0.1538107544183731
1,0,7,4,2.2329156398773193
1,0,7,3,1.2988251447677612
1,0,7,6,0.8354311585426331
1,0,7,2,0.8479110598564148
1,0,8,0,0.5162915587425232
1,0,8,7,0.5340433716773987
1,0,8,2,0.6960249543190002
1,0,8,4,2.065300226211548
1,0,8,9,1.062929630279541
1,0,8,3,1.2268345355987549
1,0,8,6,0.9072685837745667
1,0,8,8,0.16500702500343323
1,0,8,1,0.23995809257030487
1,0,8,5,0.7213711142539978
1,0,9,7,0.5765509605407715
1,0,9,4,1.5148457288742065
1,0,9,3,1.2321250438690186
1,0,9,5,0.8319051265716553
1,0,9,8,0.2516457736492157
1,0,9,6,0.8590543270111084
1,0,9,9,0.9320985674858093
1,0,9,2,0.7048482298851013
1,0,9,0,0.56791752576828
1,0,9,1,0.3211841881275177
1,0,10,7,0.5467299222946167
1,0,10,5,0.5642760992050171
1,0,10,2,0.6765292882919312
1,0,10,6,0.6717601418495178
1,0,10,1,0.2680467367172241
1,0,10,4,1.4582886695861816
1,0,10,3,1.173776626586914
1,0,10,8,0.22583189606666565
1,0,10,9,0.9465678334236145
1,0,10,0,0.5419878959655762
